City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Quime,BO,2022-08-05 18:03:57,-16.9833,-67.2167,54.82,73,97,7.16
102,Manyana,BW,2022-08-05 18:03:58,-23.4,21.7167,62.73,22,0,6.55
103,Kodiak,US,2022-08-05 18:03:58,57.79,-152.4072,56.71,88,75,0.0
104,Nikolskoye,RU,2022-08-05 18:03:59,59.7035,30.7861,76.89,68,8,6.15
105,Hermanus,ZA,2022-08-05 18:03:59,-34.4187,19.2345,52.81,79,11,7.81
106,Santa Maria,BR,2022-08-05 18:01:26,-29.6842,-53.8069,59.23,56,21,6.02
107,Oranjemund,NA,2022-08-05 18:03:59,-28.55,16.4333,55.96,79,100,7.99
108,Airai,TL,2022-08-05 18:04:00,-8.9266,125.4092,57.72,91,99,2.73
109,Torbay,CA,2022-08-05 18:00:24,47.6666,-52.7314,86.88,64,48,1.01
110,Ostersund,SE,2022-08-05 18:04:00,63.1792,14.6357,58.6,67,85,4.61
111,Beloha,MG,2022-08-05 18:04:01,-25.1667,45.05,63.19,80,0,1.01
112,Katherine,AU,2022-08-05 18:04:01,-14.4667,132.2667,75.52,64,69,0.0
113,Geraldton,AU,2022-08-05 18:04:01,-28.7667,114.6,46.81,87,4,9.22
114,Vila Velha,BR,2022-08-05 18:04:02,-20.3297,-40.2925,91.35,49,0,13.8
115,San Rafael,AR,2022-08-05 18:03:12,-34.6177,-68.3301,60.82,41,0,7.63
116,Soe,ID,2022-08-05 18:04:03,-9.8607,124.284,60.17,95,65,2.73
117,Batagay-Alyta,RU,2022-08-05 18:04:04,67.8006,130.4114,49.03,76,100,1.45
118,Butaritari,KI,2022-08-05 18:04:05,3.0707,172.7902,81.72,73,51,13.24
119,Moron,AR,2022-08-05 18:04:05,-34.6534,-58.6198,63.01,38,0,4.05
120,New Norfolk,AU,2022-08-05 18:04:05,-42.7826,147.0587,47.7,75,90,1.01
121,Sur,OM,2022-08-05 18:04:06,22.5667,59.5289,85.24,68,96,11.52
122,Belyy Gorodok,RU,2022-08-05 18:04:06,56.965,37.5125,68.99,64,42,3.18
123,Aden,YE,2022-08-05 18:04:08,12.7794,45.0367,86.18,70,10,8.37
124,Rosetta,EG,2022-08-05 18:04:09,31.4044,30.4164,77.94,78,1,10.38
125,Victoria,HK,2022-08-05 18:01:19,22.2855,114.1577,81.32,92,87,5.01
126,Saint-Augustin,CA,2022-08-05 18:04:09,51.226,-58.6502,73.22,59,100,7.29
127,Hofn,IS,2022-08-05 18:04:10,64.2539,-15.2082,55.42,71,0,9.22
128,Yellowknife,CA,2022-08-05 18:01:47,62.456,-114.3525,61.09,49,64,6.22
129,Salalah,OM,2022-08-05 18:04:11,17.0151,54.0924,78.89,94,75,6.91
130,Lorengau,PG,2022-08-05 18:05:11,-2.0226,147.2712,79.0,81,100,2.01
131,Kingman,US,2022-08-05 18:01:04,35.1894,-114.053,84.52,41,1,5.01
132,Bredasdorp,ZA,2022-08-05 18:05:12,-34.5322,20.0403,54.28,72,36,7.61
133,Leningradskiy,RU,2022-08-05 18:05:13,69.3833,178.4167,34.18,96,100,14.92
134,Maragogi,BR,2022-08-05 18:05:13,-9.0122,-35.2225,78.04,73,29,8.48
135,Cherskiy,RU,2022-08-05 18:05:13,68.75,161.3,47.44,74,100,8.61
136,Norman Wells,CA,2022-08-05 18:05:14,65.282,-126.8329,72.57,48,8,8.9
137,Hambantota,LK,2022-08-05 18:05:14,6.1241,81.1185,78.75,79,98,15.61
138,Hamilton,US,2022-08-05 18:05:15,39.1834,-84.5333,82.2,86,40,9.22
139,San Andres,CO,2022-08-05 18:05:15,12.5847,-81.7006,78.82,89,100,8.05
140,Chuy,UY,2022-08-05 18:05:16,-33.6971,-53.4616,55.04,65,4,7.27
141,Goundam,ML,2022-08-05 18:05:16,16.4145,-3.6708,92.61,40,99,7.31
142,Hithadhoo,MV,2022-08-05 18:05:16,-0.6,73.0833,82.11,73,98,10.69
143,Pingshan,CN,2022-08-05 18:05:17,22.9938,114.7131,76.46,92,75,3.69
144,Bud,US,2022-08-05 18:05:17,39.447,-86.1758,88.2,74,12,10.58
145,Provideniya,RU,2022-08-05 18:05:17,64.3833,-173.3,43.21,79,100,15.86
146,Kaeo,NZ,2022-08-05 18:05:18,-35.1,173.7833,49.24,90,53,1.99
147,Olga,RU,2022-08-05 18:05:18,43.7444,135.2892,70.75,99,100,4.41
148,Hasilpur,PK,2022-08-05 18:05:18,29.7122,72.5553,89.87,61,100,7.92
149,Sinnamary,GF,2022-08-05 18:05:19,5.3833,-52.95,85.05,64,0,10.13
150,Upernavik,GL,2022-08-05 18:05:19,72.7868,-56.1549,42.24,93,100,10.56
151,Magadan,RU,2022-08-05 18:05:20,59.5667,150.8,55.69,98,99,7.4
152,Huarmey,PE,2022-08-05 18:05:20,-10.0681,-78.1522,67.8,71,100,12.55
153,Rorvik,NO,2022-08-05 18:05:20,64.8621,11.2373,58.98,71,40,18.41
154,Svetlogorsk,BY,2022-08-05 18:05:21,52.6333,29.7333,73.6,71,35,7.94
155,Ahipara,NZ,2022-08-05 18:05:21,-35.1667,173.1667,50.43,91,62,3.67
156,Los Llanos De Aridane,ES,2022-08-05 18:05:21,28.6585,-17.9182,73.15,69,20,14.97
157,Arraial Do Cabo,BR,2022-08-05 18:05:22,-22.9661,-42.0278,82.26,57,0,8.05
158,Severo-Kurilsk,RU,2022-08-05 18:05:22,50.6789,156.125,52.99,89,100,3.51
159,Martapura,ID,2022-08-05 18:05:22,-3.4167,114.85,73.49,100,75,1.14
160,Le Port,RE,2022-08-05 18:05:23,-20.9373,55.2919,68.0,63,55,5.03
161,Ballina,AU,2022-08-05 18:05:23,-28.8667,153.5667,62.02,77,100,10.16
162,Saint-Philippe,RE,2022-08-05 18:05:24,-21.3585,55.7679,67.59,72,37,10.83
163,Nanortalik,GL,2022-08-05 18:05:24,60.1432,-45.2371,47.32,86,100,4.88
164,Pacific Grove,US,2022-08-05 18:02:30,36.6177,-121.9166,73.35,77,40,9.22
165,Laguna,US,2022-08-05 18:05:24,38.421,-121.4238,78.78,57,0,10.36
166,Namibe,AO,2022-08-05 18:05:25,-15.1961,12.1522,62.56,87,16,6.8
167,Ortigueira,BR,2022-08-05 18:05:25,-24.2083,-50.9494,72.79,45,85,4.32
168,Presidencia Roque Saenz Pena,AR,2022-08-05 18:05:25,-26.7852,-60.4388,70.7,23,0,7.0
169,Codrington,AU,2022-08-05 18:05:26,-38.2667,141.9667,41.77,98,21,7.56
170,Georgetown,MY,2022-08-05 18:01:03,5.4112,100.3354,82.89,84,20,0.0
171,Lambari,BR,2022-08-05 18:05:27,-21.9756,-45.3503,82.85,30,18,4.83
172,Mehamn,NO,2022-08-05 18:05:28,71.0357,27.8492,53.55,76,75,12.66
173,Tiznit,MA,2022-08-05 18:05:28,29.5833,-9.5,93.04,18,29,6.38
174,Port Moresby,PG,2022-08-05 18:05:29,-9.4431,147.1797,75.33,93,93,3.89
175,Chulym,RU,2022-08-05 18:05:29,55.0997,80.9572,62.15,57,23,0.98
176,Chokurdakh,RU,2022-08-05 18:06:29,70.6333,147.9167,39.74,88,70,5.86
177,Leninskoye,KZ,2022-08-05 18:06:30,41.7589,69.3864,76.06,30,2,8.84
178,Yar-Sale,RU,2022-08-05 18:06:30,66.8333,70.8333,60.15,75,100,7.7
179,Thompson,CA,2022-08-05 18:06:31,55.7435,-97.8558,57.36,94,100,12.66
180,Ayagoz,KZ,2022-08-05 18:06:31,47.9714,80.4392,62.73,33,45,9.51
181,Lavrentiya,RU,2022-08-05 18:06:31,65.5833,-171.0,38.98,88,100,10.4
182,Ancud,CL,2022-08-05 18:06:31,-41.8697,-73.8203,45.23,66,62,7.99
183,Pedasi,PA,2022-08-05 18:06:32,7.5333,-80.0333,85.06,77,100,2.17
184,Madaoua,NE,2022-08-05 18:06:32,14.073,5.96,89.44,45,32,10.31
185,Myitkyina,MM,2022-08-05 18:06:33,25.3833,97.4,73.17,99,42,1.3
186,Oktyabrskiy,RU,2022-08-05 18:06:33,54.4815,53.471,66.45,60,1,3.85
187,Elizabeth City,US,2022-08-05 18:06:21,36.2946,-76.2511,90.0,75,75,4.61
188,Acajutla,SV,2022-08-05 18:06:33,13.5928,-89.8275,84.56,68,92,6.62
189,Kieta,PG,2022-08-05 18:06:34,-6.2167,155.6333,78.21,84,98,4.99
190,Luganville,VU,2022-08-05 18:06:34,-15.5333,167.1667,77.43,85,60,8.23
191,Vardo,NO,2022-08-05 18:06:34,70.3705,31.1107,62.58,88,75,8.05
192,Kampot,KH,2022-08-05 18:06:35,10.6167,104.1833,84.25,85,100,8.59
193,Zhigansk,RU,2022-08-05 18:06:35,66.7697,123.3711,48.92,91,100,18.77
194,Great Yarmouth,GB,2022-08-05 18:02:09,52.6083,1.7305,68.41,56,25,12.59
195,Saint Anthony,US,2022-08-05 18:05:06,45.0205,-93.218,91.83,43,0,19.57
196,Cidreira,BR,2022-08-05 18:06:36,-30.1811,-50.2056,56.44,73,91,15.17
197,Dingle,PH,2022-08-05 18:06:36,10.9995,122.6711,75.6,90,100,3.62
198,Sitka,US,2022-08-05 18:01:44,57.0531,-135.33,56.8,96,100,6.22
199,Cabedelo,BR,2022-08-05 18:06:36,-6.9811,-34.8339,83.07,71,29,14.27
200,Berberati,CF,2022-08-05 18:06:37,4.2612,15.7922,68.67,97,100,3.09
201,Makakilo City,US,2022-08-05 18:06:37,21.3469,-158.0858,77.99,81,75,4.61
202,Clyde River,CA,2022-08-05 18:02:02,70.4692,-68.5914,42.62,71,53,5.19
203,Coquimbo,CL,2022-08-05 18:04:09,-29.9533,-71.3436,58.73,72,0,11.5
204,Swan Hill,AU,2022-08-05 18:06:37,-35.3378,143.5544,44.35,95,16,10.2
205,Acarau,BR,2022-08-05 18:06:38,-2.8856,-40.12,85.33,58,5,18.34
206,Port Elizabeth,ZA,2022-08-05 18:06:38,-33.918,25.5701,59.31,90,65,11.01
207,Mount Gambier,AU,2022-08-05 18:06:38,-37.8333,140.7667,42.71,100,42,5.75
208,Nuuk,GL,2022-08-05 18:06:39,64.1835,-51.7216,47.01,87,75,35.01
209,Paamiut,GL,2022-08-05 18:06:39,61.994,-49.6678,45.57,91,100,17.69
210,Saldanha,ZA,2022-08-05 18:06:39,-33.0117,17.9442,56.14,87,0,4.29
211,Port Hedland,AU,2022-08-05 18:06:40,-20.3167,118.5667,57.25,54,0,6.91
212,Springbok,ZA,2022-08-05 18:06:40,-29.6643,17.8865,58.06,45,100,3.4
213,Nome,US,2022-08-05 18:06:29,64.5011,-165.4064,51.87,87,100,0.0
214,Vao,NC,2022-08-05 18:06:41,-22.6667,167.4833,71.13,81,100,10.22
215,Waiouru,NZ,2022-08-05 18:06:41,-39.4833,175.6667,38.05,47,96,4.68
216,Charters Towers,AU,2022-08-05 18:06:41,-20.1,146.2667,64.22,95,6,8.01
217,Luderitz,NA,2022-08-05 18:06:42,-26.6481,15.1594,61.86,67,82,8.14
218,San Juan,AR,2022-08-05 18:06:42,-31.5375,-68.5364,62.98,34,5,5.77
219,Waitati,NZ,2022-08-05 18:06:42,-45.75,170.5667,52.81,72,100,2.21
220,Turkmenabat,TM,2022-08-05 18:07:43,39.0733,63.5786,86.04,20,0,11.03
221,Yazman,PK,2022-08-05 18:07:43,29.1212,71.7446,96.17,43,58,11.86
222,Berdigestyakh,RU,2022-08-05 18:07:43,62.0989,126.6992,63.97,98,100,5.79
223,Warri,NG,2022-08-05 18:07:44,5.5167,5.75,77.63,73,99,7.83
224,Voh,NC,2022-08-05 18:07:44,-20.9667,164.7,69.1,93,7,4.23
225,Bathsheba,BB,2022-08-05 18:07:45,13.2167,-59.5167,88.41,81,40,21.85
226,Russell,US,2022-08-05 18:07:45,32.3502,-85.1999,94.91,55,75,3.44
227,Padang,ID,2022-08-05 18:07:45,-0.9492,100.3543,77.83,75,95,3.24
228,Sidi Ali,DZ,2022-08-05 18:07:46,36.0998,0.4206,89.62,44,0,12.01
229,Grand Gaube,MU,2022-08-05 18:07:46,-20.0064,57.6608,70.38,70,3,4.0
230,Ostrovnoy,RU,2022-08-05 18:07:46,68.0531,39.5131,65.44,76,98,13.09
231,Lompoc,US,2022-08-05 18:07:47,34.6391,-120.4579,82.02,73,0,6.91
232,Sayyan,YE,2022-08-05 18:07:47,15.1718,44.3244,62.26,73,89,3.44
233,Svetlaya,RU,2022-08-05 18:07:47,46.5389,138.3297,64.63,99,100,7.4
234,Lar,IN,2022-08-05 18:07:48,26.2039,83.9717,90.52,58,99,6.89
235,Kavaratti,IN,2022-08-05 18:07:48,10.5669,72.642,80.15,81,100,21.21
236,Iralaya,HN,2022-08-05 18:07:48,15.0,-83.2333,80.69,78,98,12.21
237,Gander,CA,2022-08-05 18:07:49,48.9682,-54.5906,84.16,51,46,13.0
238,Sobolevo,RU,2022-08-05 18:07:49,54.4299,31.8996,69.76,83,5,5.97
239,Manaring,PH,2022-08-05 18:07:49,17.1729,121.9025,75.99,92,100,1.23
240,El Alto,PE,2022-08-05 18:07:50,-4.2714,-81.2147,73.06,68,46,18.1
241,Roald,NO,2022-08-05 18:07:50,62.5833,6.1333,60.91,71,75,23.02
242,Ponta Do Sol,PT,2022-08-05 18:07:50,32.6667,-17.1,78.71,75,1,3.67
243,Lata,PT,2022-08-05 18:07:51,40.1629,-8.3327,83.48,55,0,6.17
244,Mount Isa,AU,2022-08-05 18:07:51,-20.7333,139.5,67.77,49,40,8.05
245,Raga,SS,2022-08-05 18:07:51,8.4596,25.678,72.34,93,77,2.84
246,Karratha,AU,2022-08-05 18:07:52,-20.7377,116.8463,64.09,54,0,8.72
247,Cockburn Town,TC,2022-08-05 18:07:52,21.4612,-71.1419,82.26,77,90,19.89
248,Cabo San Lucas,MX,2022-08-05 18:04:35,22.8909,-109.9124,98.62,46,0,10.36
249,Guerrero Negro,MX,2022-08-05 18:07:52,27.9769,-114.0611,78.71,63,1,13.02
250,Egvekinot,RU,2022-08-05 18:07:53,66.3167,-179.1667,38.3,75,11,3.87
251,Nelson Bay,AU,2022-08-05 18:05:07,-32.7167,152.15,59.0,83,0,1.01
252,Imeni Zhelyabova,RU,2022-08-05 18:07:53,58.9544,36.5956,68.23,63,7,5.44
253,Ribeira Grande,PT,2022-08-05 18:07:54,38.5167,-28.7,79.2,73,20,4.61
254,Zhezkazgan,KZ,2022-08-05 18:07:54,47.8043,67.7144,72.12,36,23,10.8
255,Alexandria,EG,2022-08-05 18:06:29,31.2156,29.9553,79.74,70,0,9.73
256,Timmins,CA,2022-08-05 18:05:45,48.4669,-81.3331,77.88,42,6,8.37
257,Hualmay,PE,2022-08-05 18:07:55,-11.0964,-77.6139,66.49,70,93,11.12
258,Korla,CN,2022-08-05 18:07:55,41.7597,86.1469,89.06,22,97,6.06
259,Petrovskoye,RU,2022-08-05 18:07:55,57.0104,39.2693,73.22,51,40,6.44
